id,name,address,city
C001,"Acme, Inc.","123 Main Street, Suite 4",Springfield
C002,Blue Bottle Coffee Co.,660 Market Street,Riverton
C003,Smith & Sons Ltd,45 Elm Avenue,Riverton
C004,Northwind Traders,1 Harbor Boulevard,Portside
C005,The Hilltop Bakery,78 Oak Lane,Springfield
C006,O'Brien Consulting,12 Church Road,Portside
C007,Café Aurora,900 Fifth Avenue,Riverton
C008,Gustafson Logistics GmbH,300 Industrial Parkway,Portside
C009,Pinewood Analytics LLC,2201 Cedar Court,Springfield
C010,Ironclad Security,17 King Street West,Riverton
C011,Delta Freight Lines,404 Dockside Drive,Portside
C012,Sunrise Dental Group,55 Maple Terrace,Springfield
